genus,species,catalog_number,field_number,specimen,weight(g),sl(mm),body_width,caudal_peduncle_width,hanging_photos,lateral_photos,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,1,45.3,139.57,17.22,4.98,,Img0318,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,2,23,114.83,14.84,4.52,,Img0319,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,3,34.6,125.45,14.75,4.88,,Img0320,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,4,41.4,136.12,18.62,4.88,,Img0321,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,5,42.4,139.29,15.73,4.8,,Img0326,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,6,44.8,138.62,18.46,4.89,,Img0327,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,7,27.8,113.68,16.44,4.11,,Img0328,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,8,28.8,123.37,15.93,4.43,,Img0329,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,9,15.7,103.46,13.55,3.31,,Img0330,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,10,34,129.47,17.33,4.06,,Img0331,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,11,15.6,99.81,13.78,3.45,,Img0332,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,12,36,131.03,17.34,4.13,,Img0333,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,13,18.7,106.19,14.51,3.79,,Img0334,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,14,13.7,91.72,12.86,3.21,,Img0335,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,15,41.2,133.95,17.47,4.41,,Img0336,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,16,43.1,140.19,18.04,4.77,,Img0337,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,17,19.8,112.77,14.92,3.6,,Img0339,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,18,33,129.5,16.56,3.81,,Img0340,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,19,10.7,87.73,12.56,2.55,,Img0341,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,20,25.6,121.05,15.01,3.11,,Img0343,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,21,10.5,89.26,11.76,2.36,,img0344,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,22,21.8,112.1,15.35,3.42,,Img0345,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,23,27.9,119.19,16.03,4.06,,Img0346,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,24,28.1,116.93,16.27,4.57,,Img0348,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,25,11,92.35,10.99,2.77,,Img0349,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,26,34.1,131.69,16.54,4.07,,Img0350,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,27,32.6,127.25,15.95,4.16,,Img0351,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,28,19.3,110.71,13.17,3.27,,Img0012,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,29,47.4,141.46,19.89,4.33,,Img0002,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,30,28,122.95,15.41,3.7,,Img0003,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,31,25.3,117.3,14.6,3.96,,Img0004,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,32,25.8,117.69,14.61,3.64,,Img0005,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,33,11.3,90.97,11.87,2.47,,Img0007,
Salvelinus,fontinalis,,ST-HRN LMH 2/24/2025,34,16.5,103.59,13.27,2.87,,Img0008,
